label,pattern,replace
anoplura,Abrocomaphthirus chilensis,
anoplura,Abrocomaphthirus hoplai,
anoplura,Abrocomaphthirus longus,
anoplura,Acanthopinus antennatus,Neohaematopinus sciurinus
anoplura,Acanthopinus sciurinus,Neohaematopinus sciurinus
anoplura,Achimella calforhini,Antarctophthirus callorhini
anoplura,Ahaematopinus inornatus,Neohaematopinus inornatus
anoplura,Ahaematopinus insulsus,Polyplax insulsa
anoplura,Alenapthirus spinosissimus,Johnsonpthirus spinosissimus
anoplura,Ancistroplax chodsigoae,
anoplura,Ancistroplax crocidurae,
anoplura,Ancistroplax nasuta,
anoplura,Ancistroplax nepalensis,
anoplura,Ancistroplax taiwanensis,
anoplura,Antarctophthirus callorhini,
anoplura,Antarctophthirus carlinii,
anoplura,Antarctophthirus lobodontis,
anoplura,Antarctophthirus mawsoni,
anoplura,Antarctophthirus microchir,
anoplura,Antarctophthirus microchir californicus,Antarctophthirus microchir
anoplura,Antarctophthirus monarchus,Antarctophthirus callorhini
anoplura,Antarctophthirus ogmorhini,
anoplura,Antarctophthirus trichechi,
anoplura,Arctophthirus trichechi,Antarctophthirus trichechi
anoplura,Atopophthirus emersoni,
anoplura,Atopophthirus setosus,
anoplura,Bathyergicola hilli,Eulinognathus hilli
anoplura,Bathyergicola lawrensis,Eulinognathus lawrensis
anoplura,Bathyergicola lophiomydis,Eulinognathus lophiomydis
anoplura,Bedfordia tripedata,Scipio tripedatus
anoplura,Cervophthirius capreoli,Solenopotes capreoli
anoplura,Cervophthirius crassicornis,Solenopotes burmeisteri
anoplura,Cervophthirius ferrisi,Solenopotes ferrisi
anoplura,Cervophthirius tarandi,Solenopotes tarandi
anoplura,Cervophthrius burmeisteri,Solenopotes burmeisteri
anoplura,Ctenophthirus cercomydis,
anoplura,Ctenopleura cryptica,Hoplopleura cryptica
anoplura,Ctenura pectinata,Hoplopleura pectinata
anoplura,Cuyana maurii,
anoplura,Cyclophthirus ferrisi,Enderleinellus ferrisi
anoplura,Cyclophthirus suturalis,Enderleinellus suturalis
anoplura,Docophthirus acinetus,
anoplura,Echinophthirius fluctus,Proechinophthirus fluctus
anoplura,Echinophthirius groenlandicus,Echinophthirius horridus
anoplura,Echinophthirius horridus,
anoplura,Echinophthirius horridus baikalensis,Echinophthirius horridus
anoplura,Echinophthirius horridus erignathi,Echinophthirius horridus
anoplura,Echinophthirius microchir,Antarctophthirus microchir
anoplura,Echinophthirius phocae,Echinophthirius horridus
anoplura,Echinophthirius sericans,Echinophthirius horridus
anoplura,Echinophthirius sericeus,Echinophthirius horridus
anoplura,Echinophthirius setosus,Echinophthirius horridus
anoplura,Enderleinellus arizonensis,
anoplura,Enderleinellus blagoveshtchenskyi,
anoplura,Enderleinellus brasiliensis,
anoplura,Enderleinellus corrugatus,
anoplura,Enderleinellus deppei,
anoplura,Enderleinellus disparilis,
anoplura,Enderleinellus dolichocephalus,
anoplura,Enderleinellus dremomydis,
anoplura,Enderleinellus euxeri,
anoplura,Enderleinellus extremus,
anoplura,Enderleinellus ferrisi,
anoplura,Enderleinellus gambiani,
anoplura,Enderleinellus heliosciuri,
anoplura,Enderleinellus hondurensis,
anoplura,Enderleinellus insularis,
anoplura,Enderleinellus kaibabensis,
anoplura,Enderleinellus kelloggi,
anoplura,Enderleinellus krochinae,
anoplura,Enderleinellus kumadai,
anoplura,Enderleinellus laeviusculus,Linognathoides laeviusculus
anoplura,Enderleinellus larisci,
anoplura,Enderleinellus longiceps,
anoplura,Enderleinellus malaysianus,
anoplura,Enderleinellus marmotae,
anoplura,Enderleinellus menetensis,
anoplura,Enderleinellus mexicanus,
anoplura,Enderleinellus microsciuri,
anoplura,Enderleinellus minutus,Werneckia minuta
anoplura,Enderleinellus nannosciuri,
anoplura,Enderleinellus nayaritensis,
anoplura,Enderleinellus nishimarui,
anoplura,Enderleinellus nitzschi,
anoplura,Enderleinellus oculatus,
anoplura,Enderleinellus osborni,
anoplura,Enderleinellus paralongiceps,
anoplura,Enderleinellus paraxeri,Werneckia paraxeri
anoplura,Enderleinellus platyspicatus,
anoplura,Enderleinellus pratti,
anoplura,Enderleinellus propinquus,
anoplura,Enderleinellus puvensis,
anoplura,Enderleinellus replicates,
anoplura,Enderleinellus sciurotamiasis,
anoplura,Enderleinellus spaerocephalus,Enderleinellus nitzschi
anoplura,Enderleinellus sphaerocephalus,Enderleinellus tamiasciuri
anoplura,Enderleinellus sphaerocephalus,Enderleinellus nitzschi
