label,pattern,replace
setae,anmhs,anterior marginal head setae
setae,aphs,apical head setae
setae,chaeta,
setae,cheta,
setae,dachs,dorsal accessory head setae
setae,dahs,dorsal accessory head setae
setae,danchs,dorsal anterior central head setae
setae,danhs,dorsal anterior head setae
setae,dcas,dorsal central abdominal setae
setae,dlas,dorsal lateral abdominal setae
setae,dmas,dorsal marginal abdominal setae
setae,dmhs,dorsal marginal head setae
setae,dmss,dorsal mesothoracic setae
setae,dmts,mesothoracic setae
setae,dpahs,dorsal preantennal head setae
setae,dpchs,posterior central setae
setae,dphs,dorsal principal head setae
setae,dpochs,dorsal posterior central head setae
setae,dpohs,dorsal posterior head setae
setae,dprs,dorsal paratergal setae
setae,dpts,dorsal principal thoracic setae
setae,lrs,labral setae
setae,mas1,first marginal setae
setae,mas2,second marginal setae
setae,mhs,marginal setae
setae,oms,oral marginal setae
setae,ors,oral setae
setae,os,oral setae
setae,pas,preantennal setae
setae,prs,paratergal setae
setae,seta,
setae,setaceous,
setae,setae,
setae,setose,
setae,setula,
setae,shs,sutural head setae
setae,spahs,supraantennal head setae
setae,spaths,supra-antennal head setae
setae,stas,sternal abdominal setae
setae,suhs,sutural head setae
setae,teas,tergal abdominal setae
setae,vcas,ventral central abdominal setae
setae,vlas,ventral lateral abdominal setae
setae,vmas,ventral marginal abdominal setae
setae,vpahs,ventral preantennal head setae
setae,vphs,ventral principal head setae
setae,vpomhs,ventral posterior marginal head setae
setae,vprs,ventral paratergal setae
