label,pattern,replace,rank
anoplura,abrocomaphthirus,,genus
anoplura,acanthopinus,,genus
anoplura,achimella,,genus
anoplura,ahaematopinus,,genus
anoplura,alenapthirus,,genus
anoplura,ancistroplax,,genus
anoplura,antarctophthirus,,genus
anoplura,arctophthirus,,genus
anoplura,atopophthirus,,genus
anoplura,bathyergicola,,genus
anoplura,bedfordia,,genus
anoplura,cervophthirius,,genus
anoplura,cervophthrius,,genus
anoplura,ctenophthirus,,genus
anoplura,ctenopleura,,genus
anoplura,ctenura,,genus
anoplura,cuyana,,genus
anoplura,cyclophthirus,,genus
anoplura,docophthirus,,genus
anoplura,echinophthirius,,genus
anoplura,enderleinellus,,genus
anoplura,eremophthirius,,genus
anoplura,euendelerleinellus,,genus
anoplura,euenderleinellus,,genus
anoplura,euhaematopinus,,genus
anoplura,euhoplopleura,,genus
anoplura,eulinognathus,,genus
anoplura,fahrenholzia,,genus
anoplura,ferrisella,,genus
anoplura,galeophthirus,,genus
anoplura,haematopinoides,,genus
anoplura,haematopinus,,genus
anoplura,haemodipsus,,genus
anoplura,hamophthirius,,genus
anoplura,hamophthirus,,genus
anoplura,hasellus,,genus
anoplura,hematopinus,,genus
anoplura,hoplophthirus,,genus
anoplura,hoplopleura,,genus
anoplura,hybophthirus,,genus
anoplura,johnsonpthirus,,genus
anoplura,lagidiophthirus,,genus
anoplura,latagophthirus,,genus
anoplura,lemurpediculus,,genus
anoplura,lemurphthirus,,genus
anoplura,lepidophthirus,,genus
anoplura,linognathella,,genus
anoplura,linognathoides,,genus
anoplura,linognathus,,genus
anoplura,linognatoides,,genus
anoplura,lutegus,,genus
anoplura,microphthirus,,genus
anoplura,microthoracius,,genus
anoplura,mirophthirus,,genus
anoplura,neohaematopinus,,genus
anoplura,neolinognathus,,genus
anoplura,neopedicinus,,genus
anoplura,neumannellus,,genus
anoplura,paradoxophthirus,,genus
anoplura,pecaroecus,,genus
anoplura,pedicinus,,genus
anoplura,pediculus,,genus
anoplura,petauristophthirus,,genus
anoplura,phthirpedicinus,,genus
anoplura,phthirpediculus,,genus
anoplura,phthirunculus,,genus
anoplura,phthirus,,genus
anoplura,polyplax,,genus
anoplura,proechinophthirus,,genus
anoplura,proenderleinellus,,genus
anoplura,prolinognathus,,genus
anoplura,pterophthirus,,genus
anoplura,pthirus,,genus
anoplura,ratemia,,genus
anoplura,rhinophthirus,,genus
anoplura,sathrax,,genus
anoplura,schizophthirus,,genus
anoplura,scipio,,genus
anoplura,solenopotes,,genus
anoplura,stobella,,genus
anoplura,symoca,,genus
anoplura,symysadus,,genus
anoplura,trichaulus,,genus
anoplura,tupaiphthirus,,genus
anoplura,typhlomyophthirus,,genus
anoplura,waterstonia,,genus
anoplura,werneckia,,genus
anoplura,abrocomaphthirus chilensis,,species
anoplura,abrocomaphthirus hoplai,,species
anoplura,abrocomaphthirus longus,,species
anoplura,acanthopinus antennatus,Neohaematopinus sciurinus,species
anoplura,acanthopinus sciurinus,Neohaematopinus sciurinus,species
anoplura,achimella calforhini,Antarctophthirus callorhini,species
anoplura,ahaematopinus inornatus,Neohaematopinus inornatus,species
anoplura,ahaematopinus insulsus,Polyplax insulsa,species
anoplura,alenapthirus spinosissimus,Johnsonpthirus spinosissimus,species
anoplura,ancistroplax chodsigoae,,species
anoplura,ancistroplax crocidurae,,species
anoplura,ancistroplax nasuta,,species
anoplura,ancistroplax nepalensis,,species
anoplura,ancistroplax taiwanensis,,species
anoplura,antarctophthirus callorhini,,species
anoplura,antarctophthirus carlinii,,species
anoplura,antarctophthirus lobodontis,,species
anoplura,antarctophthirus mawsoni,,species
anoplura,antarctophthirus microchir,,species
anoplura,antarctophthirus microchir californicus,Antarctophthirus microchir,species
anoplura,antarctophthirus monarchus,Antarctophthirus callorhini,species
anoplura,antarctophthirus ogmorhini,,species
anoplura,antarctophthirus trichechi,,species
anoplura,arctophthirus trichechi,Antarctophthirus trichechi,species
anoplura,atopophthirus emersoni,,species
anoplura,atopophthirus setosus,,species
anoplura,bathyergicola hilli,Eulinognathus hilli,species
anoplura,bathyergicola lawrensis,Eulinognathus lawrensis,species
anoplura,bathyergicola lophiomydis,Eulinognathus lophiomydis,species
anoplura,bedfordia tripedata,Scipio tripedatus,species
anoplura,cervophthirius capreoli,Solenopotes capreoli,species
anoplura,cervophthirius crassicornis,Solenopotes burmeisteri,species
anoplura,cervophthirius ferrisi,Solenopotes ferrisi,species
anoplura,cervophthirius tarandi,Solenopotes tarandi,species
anoplura,cervophthrius burmeisteri,Solenopotes burmeisteri,species
anoplura,ctenophthirus cercomydis,,species
anoplura,ctenopleura cryptica,Hoplopleura cryptica,species
anoplura,ctenura pectinata,Hoplopleura pectinata,species
anoplura,cuyana maurii,,species
anoplura,cyclophthirus ferrisi,Enderleinellus ferrisi,species
anoplura,cyclophthirus suturalis,Enderleinellus suturalis,species
anoplura,docophthirus acinetus,,species
anoplura,echinophthirius fluctus,Proechinophthirus fluctus,species
anoplura,echinophthirius groenlandicus,Echinophthirius horridus,species
anoplura,echinophthirius horridus,,species
anoplura,echinophthirius horridus baikalensis,Echinophthirius horridus,species
anoplura,echinophthirius horridus erignathi,Echinophthirius horridus,species
anoplura,echinophthirius microchir,Antarctophthirus microchir,species
anoplura,echinophthirius phocae,Echinophthirius horridus,species
anoplura,echinophthirius sericans,Echinophthirius horridus,species
anoplura,echinophthirius sericeus,Echinophthirius horridus,species
anoplura,echinophthirius setosus,Echinophthirius horridus,species
anoplura,enderleinellus arizonensis,,species
