label,pattern,replace
bug_part,abdomen,abdomen
bug_part,antenna,antenna
bug_part,antennae,antenna
bug_part,antennas,antenna
bug_part,apodemas,apodeme
bug_part,apodemata,apodeme
bug_part,apodeme,apodema
bug_part,apodeme,apodeme
bug_part,apodemes,apodeme
bug_part,body,body
bug_part,chitin,chitin
bug_part,claw,claw
bug_part,claws,claw
bug_part,cuticle,cuticle
bug_part,femora,femur
bug_part,femur,femur
bug_part,forecoxa,forecoxae
bug_part,forecoxae,forecoxae
bug_part,genitalia,genitalia
bug_part,genitals,genitalia
bug_part,gonopod,gonopod
bug_part,gonopods,gonopod
bug_part,head,head
bug_part,labra,labrum
bug_part,labrum,labrum
bug_part,sclerite,sclerite
bug_part,sclerotin,sclerite
bug_part,spiracle,spiracle
bug_part,spiracles,spiracle
bug_part,sterna,sternum
bug_part,sternum,sternum
bug_part,suture,suture
bug_part,terga,tergum
bug_part,tergite,tergum
bug_part,tergites,tergum
bug_part,tergum,tergum
bug_part,thorax,thorax
bug_part,total body,body
chitinized,chitinized,chitinized
chitinized,chitinous,chitinized
plates,plate,plate
plates,plates,plate
sclerotization,sclerotization,sclerotized
sclerotization,sclerotized,sclerotized
segments,segment,segment
segments,segments,segment
sternites,sternite,sternite
sternites,sternites,sternite
