label,pattern,replace
cross,X,×
cross,x,×
cross,×,×
cross,to,×
dimension,broad,broad
dimension,broader,broad
dimension,dbh,dbh
dimension,dia,diameter
dimension,dia.,diameter
dimension,diam,diameter
dimension,diam.,diameter
dimension,diameter,diameter
dimension,diameter.,diameter
dimension,diameters,diameter
dimension,diameters.,diameter
dimension,height,height
dimension,high,height
dimension,in dia,diameter
dimension,in diam,diameter
dimension,in diameter,diameter
dimension,in height,height
dimension,length,length
dimension,long,length
dimension,longo,length
dimension,radius,radius
dimension,size,size
dimension,sized,size
dimension,tall,height
dimension,thick,thickness
dimension,thickness,thickness
dimension,wide,width
dimension,width,width
mean_term,average,mean
mean_term,avg,mean
mean_term,mean of series,mean
mean_term,mean,mean
measure,total,
measure,maximum,
range_term,range,
range_term,ranges from,
sample_term,n,sample
sample_term,sample,sample
