label,pattern,replace
position,anterior,
position,anteriorly,
position,contralateral,
position,deep,
position,distal,
position,dorsal,
position,frontal,
position,inferior,
position,ipsilateral,
position,lateral,
position,medial,
position,posterior,
position,proximal,
position,sagittal,
position,superficial,
position,superior,
position,transverse,
position,ventral,
position,frontal plane,
position,sagittal plane,
position,caudal,
position,cranial,
position,horizontal,
position,horizontal plane,
position,cephalic,
position,posterolateral,
position,dorsolateral,
