label,pattern,replace,part,author
chaeta,chaeta,,,
chaeta,cheta,,,
chaeta,seta,,,
chaeta,setaceous,,,
chaeta,setae,,,
chaeta,setose,,,
chaeta,setula,,,
seta_abbrev,anmhs,anterior marginal head setae,head,"Durden and Musser, 1991"
seta_abbrev,aphs,apical head setae,head,"Durden and Musser, 1991"
seta_abbrev,dachs,dorsal accessory head setae,head,"Durden and Musser, 1991"
seta_abbrev,dahs,dorsal accessory head setae,head,"Kim, 1977"
seta_abbrev,danchs,dorsal anterior central head setae,head,"Durden et al., 2019"
seta_abbrev,danhs,dorsal anterior head setae,head,"Durden and Musser, 1991"
seta_abbrev,dcas,dorsal central abdominal setae,abdomen,"Durden and Musser, 1991"
seta_abbrev,dlas,dorsal lateral abdominal setae,abdomen,"Durden and Musser, 1991"
seta_abbrev,dmas,dorsal marginal abdominal setae,abdomen,"Durden et al., 2019"
seta_abbrev,dmhs,dorsal marginal head setae,head,"Durden and Musser, 1991"
seta_abbrev,dmss,dorsal mesothoracic setae,thorax,
seta_abbrev,dmts,mesothoracic setae,thorax,"Kim, 1977"
seta_abbrev,dpahs,dorsal preantennal head setae,head,"Kim, 1977"
seta_abbrev,dpchs,posterior central setae,head,"Kim, 1977"
seta_abbrev,dphs,dorsal principal head setae,head,"Durden and Musser, 1991"
seta_abbrev,dpochs,dorsal posterior central head setae,head,"Durden and Musser, 1991"
seta_abbrev,dpohs,dorsal posterior head setae,head,"Durden et al., 2019"
seta_abbrev,dprs,dorsal paratergal setae,abdomen,"Durden and Musser, 1991"
seta_abbrev,dpts,dorsal principal thoracic setae,thorax,"Kim, 1977"
seta_abbrev,lrs,labral setae,head,"Kim, 1977"
seta_abbrev,mas1,first marginal setae,abdomen,"Kim, 1977"
seta_abbrev,mas2,second marginal setae,abdomen,"Kim, 1977"
seta_abbrev,mhs,marginal setae,head,"Kim, 1977"
seta_abbrev,oms,oral marginal setae,head,"Kim, 1977"
seta_abbrev,ors,oral setae,head,"Durden and Musser, 1991"
seta_abbrev,os,oral setae,head,"Kim, 1977"
seta_abbrev,pas,preantennal setae,head,"Kim, 1977"
seta_abbrev,prs,paratergal setae,abdomen,"Durden and Rausch, 2007"
seta_abbrev,shs,sutural head setae,head,"Kim, 1977"
seta_abbrev,spahs,supra-antennal head setae,head,"Durden and Timm, 2001"
seta_abbrev,spaths,supra-antennal head setae,head,"Durden and Musser, 1991"
seta_abbrev,stas,sternal abdominal setae,abdomen,"Durden and Musser, 1991"
seta_abbrev,suhs,sutural head setae,head,"Durden and Musser, 1991"
seta_abbrev,teas,tergal abdominal setae,abdomen,"Durden and Musser, 1991"
seta_abbrev,vcas,ventral central abdominal setae,abdomen,"Durden and Rausch, 2007"
seta_abbrev,vlas,ventral lateral abdominal setae,abdomen,"Durden and Eckerlin, 2001"
seta_abbrev,vmas,ventral marginal abdominal setae,abdomen,"Durden, 2019"
seta_abbrev,vpahs,ventral preantennal head setae,head,"Durden and Musser, 1991"
seta_abbrev,vphs,ventral principal head setae,head,"Durden and Musser, 1991"
seta_abbrev,vpomhs,ventral posterior marginal head setae,head,"Durden and Rausch, 2007"
seta_abbrev,vprs,ventral paratergal setae,abdomen,"Durden and Musser, 1991"
setae,anterior marginal head setae,,head,"Durden and Musser, 1991"
setae,anterior marginal head seta,,head,"Durden and Musser, 1991"
setae,apical head setae,,head,"Durden and Musser, 1991"
setae,apical head seta,,head,"Durden and Musser, 1991"
setae,dorsal accessory head setae,,head,"Durden and Musser, 1991"
setae,dorsal accessory head setae,,head,"Kim, 1977"
setae,dorsal accessory head seta,,head,
setae,dorsal anterior central head setae,,head,"Durden et al., 2019"
setae,dorsal anterior head setae,,head,"Durden and Musser, 1991"
setae,dorsal central abdominal setae,,abdomen,"Durden and Musser, 1991"
setae,dorsal lateral abdominal setae,,abdomen,"Durden and Musser, 1991"
setae,dorsal marginal abdominal setae,,abdomen,"Durden et al., 2019"
setae,dorsal marginal head setae,,head,"Durden and Musser, 1991"
setae,dorsal mesothoracic setae,,thorax,
setae,dorsal preantennal head seta,,head,
setae,dorsal principal head seta,,head,
setae,mesothoracic setae,,thorax,"Kim, 1977"
setae,dorsal preantennal head setae,,head,"Kim, 1977"
setae,posterior central setae,,head,"Kim, 1977"
setae,dorsal principal head setae,,head,"Durden and Musser, 1991"
setae,dorsal posterior central head setae,,head,"Durden and Musser, 1991"
setae,dorsal posterior head setae,,head,"Durden et al., 2019"
setae,dorsal paratergal setae,,abdomen,"Durden and Musser, 1991"
setae,dorsal principal thoracic setae,,thorax,"Kim, 1977"
setae,labral setae,,head,"Kim, 1977"
setae,first marginal setae,,abdomen,"Kim, 1977"
setae,second marginal setae,,abdomen,"Kim, 1977"
setae,marginal setae,,head,"Kim, 1977"
setae,oral marginal setae,,head,"Kim, 1977"
setae,oral setae,,head,"Durden and Musser, 1991"
setae,oral setae,,head,"Kim, 1977"
setae,preantennal setae,,head,"Kim, 1977"
setae,paratergal setae,,abdomen,"Durden and Rausch, 2007"
setae,sutural head setae,,head,"Kim, 1977"
setae,supra-antennal head setae,,head,"Durden and Timm, 2001"
setae,supraantennal head setae,supra-antennal head setae,head,"Durden and Musser, 1991"
setae,sternal abdominal setae,,abdomen,"Durden and Musser, 1991"
setae,sutural head setae,,head,"Durden and Musser, 1991"
