label,pattern,replace,rank
anoplura,a. antennatus,Neohaematopinus sciurinus,species
anoplura,a. calforhini,Antarctophthirus callorhini,species
anoplura,a. callorhini,Antarctophthirus callorhini,species
anoplura,a. carlinii,Antarctophthirus carlinii,species
anoplura,a. chilensis,Abrocomaphthirus chilensis,species
anoplura,a. chodsigoae,Ancistroplax chodsigoae,species
anoplura,a. crocidurae,Ancistroplax crocidurae,species
anoplura,a. emersoni,Atopophthirus emersoni,species
anoplura,a. hoplai,Abrocomaphthirus hoplai,species
anoplura,a. inornatus,Neohaematopinus inornatus,species
anoplura,a. insulsus,Polyplax insulsa,species
anoplura,a. lobodontis,Antarctophthirus lobodontis,species
anoplura,a. longus,Abrocomaphthirus longus,species
anoplura,a. mawsoni,Antarctophthirus mawsoni,species
anoplura,a. microchir californicus,Antarctophthirus microchir,species
anoplura,a. microchir,Antarctophthirus microchir,species
anoplura,a. monarchus,Antarctophthirus callorhini,species
anoplura,a. nasuta,Ancistroplax nasuta,species
anoplura,a. nepalensis,Ancistroplax nepalensis,species
anoplura,a. ogmorhini,Antarctophthirus ogmorhini,species
anoplura,a. sciurinus,Neohaematopinus sciurinus,species
anoplura,a. setosus,Atopophthirus setosus,species
anoplura,a. spinosissimus,Johnsonpthirus spinosissimus,species
anoplura,a. taiwanensis,Ancistroplax taiwanensis,species
anoplura,a. trichechi,Antarctophthirus trichechi,species
anoplura,abrocomaphthirus chilensis,Abrocomaphthirus chilensis,species
anoplura,abrocomaphthirus hoplai,Abrocomaphthirus hoplai,species
anoplura,abrocomaphthirus longus,Abrocomaphthirus longus,species
anoplura,abrocomaphthirus,Abrocomaphthirus,genus
anoplura,acanthopinus antennatus,Neohaematopinus sciurinus,species
anoplura,acanthopinus sciurinus,Neohaematopinus sciurinus,species
anoplura,acanthopinus,Acanthopinus,genus
anoplura,achimella calforhini,Antarctophthirus callorhini,species
anoplura,achimella,Achimella,genus
anoplura,ahaematopinus inornatus,Neohaematopinus inornatus,species
anoplura,ahaematopinus insulsus,Polyplax insulsa,species
anoplura,ahaematopinus,Ahaematopinus,genus
anoplura,alenapthirus spinosissimus,Johnsonpthirus spinosissimus,species
anoplura,alenapthirus,Alenapthirus,genus
anoplura,ancistroplax chodsigoae,Ancistroplax chodsigoae,species
anoplura,ancistroplax crocidurae,Ancistroplax crocidurae,species
anoplura,ancistroplax nasuta,Ancistroplax nasuta,species
anoplura,ancistroplax nepalensis,Ancistroplax nepalensis,species
anoplura,ancistroplax taiwanensis,Ancistroplax taiwanensis,species
anoplura,ancistroplax,Ancistroplax,genus
anoplura,antarctophthirus callorhini,Antarctophthirus callorhini,species
anoplura,antarctophthirus carlinii,Antarctophthirus carlinii,species
anoplura,antarctophthirus lobodontis,Antarctophthirus lobodontis,species
anoplura,antarctophthirus mawsoni,Antarctophthirus mawsoni,species
anoplura,antarctophthirus microchir californicus,Antarctophthirus microchir,species
anoplura,antarctophthirus microchir,Antarctophthirus microchir,species
anoplura,antarctophthirus monarchus,Antarctophthirus callorhini,species
anoplura,antarctophthirus ogmorhini,Antarctophthirus ogmorhini,species
anoplura,antarctophthirus trichechi,Antarctophthirus trichechi,species
anoplura,antarctophthirus,Antarctophthirus,genus
anoplura,arctophthirus trichechi,Antarctophthirus trichechi,species
anoplura,arctophthirus,Arctophthirus,genus
anoplura,atopophthirus emersoni,Atopophthirus emersoni,species
anoplura,atopophthirus setosus,Atopophthirus setosus,species
anoplura,atopophthirus,Atopophthirus,genus
anoplura,b. hilli,Eulinognathus hilli,species
anoplura,b. lawrensis,Eulinognathus lawrensis,species
anoplura,b. lophiomydis,Eulinognathus lophiomydis,species
anoplura,b. tripedata,Scipio tripedatus,species
anoplura,bathyergicola hilli,Eulinognathus hilli,species
anoplura,bathyergicola lawrensis,Eulinognathus lawrensis,species
anoplura,bathyergicola lophiomydis,Eulinognathus lophiomydis,species
anoplura,bathyergicola,Bathyergicola,genus
anoplura,bedfordia tripedata,Scipio tripedatus,species
anoplura,bedfordia,Bedfordia,genus
anoplura,c. burmeisteri,Solenopotes burmeisteri,species
anoplura,c. capreoli,Solenopotes capreoli,species
