label,pattern,attr,replace
anoplura,Abrocomaphthirus chilensis,lower,
anoplura,Abrocomaphthirus hoplai,lower,
anoplura,Abrocomaphthirus longus,lower,
anoplura,Acanthopinus antennatus,lower,Neohaematopinus sciurinus
anoplura,Acanthopinus sciurinus,lower,Neohaematopinus sciurinus
anoplura,Achimella calforhini,lower,Antarctophthirus callorhini
anoplura,Ahaematopinus inornatus,lower,Neohaematopinus inornatus
anoplura,Ahaematopinus insulsus,lower,Polyplax insulsa
anoplura,Alenapthirus spinosissimus,lower,Johnsonpthirus spinosissimus
anoplura,Ancistroplax chodsigoae,lower,
anoplura,Ancistroplax crocidurae,lower,
anoplura,Ancistroplax nasuta,lower,
anoplura,Ancistroplax nepalensis,lower,
anoplura,Ancistroplax taiwanensis,lower,
anoplura,Antarctophthirus callorhini,lower,
anoplura,Antarctophthirus carlinii,lower,
anoplura,Antarctophthirus lobodontis,lower,
anoplura,Antarctophthirus mawsoni,lower,
anoplura,Antarctophthirus microchir,lower,
anoplura,Antarctophthirus microchir californicus,lower,Antarctophthirus microchir
anoplura,Antarctophthirus monarchus,lower,Antarctophthirus callorhini
anoplura,Antarctophthirus ogmorhini,lower,
anoplura,Antarctophthirus trichechi,lower,
anoplura,Arctophthirus trichechi,lower,Antarctophthirus trichechi
anoplura,Atopophthirus emersoni,lower,
anoplura,Atopophthirus setosus,lower,
anoplura,Bathyergicola hilli,lower,Eulinognathus hilli
anoplura,Bathyergicola lawrensis,lower,Eulinognathus lawrensis
anoplura,Bathyergicola lophiomydis,lower,Eulinognathus lophiomydis
anoplura,Bedfordia tripedata,lower,Scipio tripedatus
anoplura,Cervophthirius capreoli,lower,Solenopotes capreoli
anoplura,Cervophthirius crassicornis,lower,Solenopotes burmeisteri
anoplura,Cervophthirius ferrisi,lower,Solenopotes ferrisi
anoplura,Cervophthirius tarandi,lower,Solenopotes tarandi
anoplura,Cervophthrius burmeisteri,lower,Solenopotes burmeisteri
anoplura,Ctenophthirus cercomydis,lower,
anoplura,Ctenopleura cryptica,lower,Hoplopleura cryptica
anoplura,Ctenura pectinata,lower,Hoplopleura pectinata
anoplura,Cuyana maurii,lower,
anoplura,Cyclophthirus ferrisi,lower,Enderleinellus ferrisi
anoplura,Cyclophthirus suturalis,lower,Enderleinellus suturalis
anoplura,Docophthirus acinetus,lower,
anoplura,Echinophthirius fluctus,lower,Proechinophthirus fluctus
anoplura,Echinophthirius groenlandicus,lower,Echinophthirius horridus
anoplura,Echinophthirius horridus,lower,
anoplura,Echinophthirius horridus baikalensis,lower,Echinophthirius horridus
anoplura,Echinophthirius horridus erignathi,lower,Echinophthirius horridus
anoplura,Echinophthirius microchir,lower,Antarctophthirus microchir
anoplura,Echinophthirius phocae,lower,Echinophthirius horridus
anoplura,Echinophthirius sericans,lower,Echinophthirius horridus
anoplura,Echinophthirius sericeus,lower,Echinophthirius horridus
anoplura,Echinophthirius setosus,lower,Echinophthirius horridus
anoplura,Enderleinellus arizonensis,lower,
anoplura,Enderleinellus blagoveshtchenskyi,lower,
anoplura,Enderleinellus brasiliensis,lower,
anoplura,Enderleinellus corrugatus,lower,
anoplura,Enderleinellus deppei,lower,
anoplura,Enderleinellus disparilis,lower,
anoplura,Enderleinellus dolichocephalus,lower,
anoplura,Enderleinellus dremomydis,lower,
anoplura,Enderleinellus euxeri,lower,
anoplura,Enderleinellus extremus,lower,
anoplura,Enderleinellus ferrisi,lower,
anoplura,Enderleinellus gambiani,lower,
anoplura,Enderleinellus heliosciuri,lower,
anoplura,Enderleinellus hondurensis,lower,
anoplura,Enderleinellus insularis,lower,
anoplura,Enderleinellus kaibabensis,lower,
anoplura,Enderleinellus kelloggi,lower,
anoplura,Enderleinellus krochinae,lower,
anoplura,Enderleinellus kumadai,lower,
anoplura,Enderleinellus laeviusculus,lower,Linognathoides laeviusculus
anoplura,Enderleinellus larisci,lower,
anoplura,Enderleinellus longiceps,lower,
anoplura,Enderleinellus malaysianus,lower,
anoplura,Enderleinellus marmotae,lower,
anoplura,Enderleinellus menetensis,lower,
anoplura,Enderleinellus mexicanus,lower,
anoplura,Enderleinellus microsciuri,lower,
anoplura,Enderleinellus minutus,lower,Werneckia minuta
anoplura,Enderleinellus nannosciuri,lower,
anoplura,Enderleinellus nayaritensis,lower,
anoplura,Enderleinellus nishimarui,lower,
anoplura,Enderleinellus nitzschi,lower,
anoplura,Enderleinellus oculatus,lower,
anoplura,Enderleinellus osborni,lower,
anoplura,Enderleinellus paralongiceps,lower,
anoplura,Enderleinellus paraxeri,lower,Werneckia paraxeri
anoplura,Enderleinellus platyspicatus,lower,
anoplura,Enderleinellus pratti,lower,
anoplura,Enderleinellus propinquus,lower,
anoplura,Enderleinellus puvensis,lower,
anoplura,Enderleinellus replicates,lower,
anoplura,Enderleinellus sciurotamiasis,lower,
anoplura,Enderleinellus spaerocephalus,lower,Enderleinellus nitzschi
anoplura,Enderleinellus sphaerocephalus,lower,Enderleinellus tamiasciuri
anoplura,Enderleinellus sphaerocephalus,lower,Enderleinellus nitzschi
anoplura,Enderleinellus suturalis,lower,
anoplura,Enderleinellus suturalis occidentalis,lower,Enderleinellus suturalis
anoplura,Enderleinellus tamiasciuri,lower,
anoplura,Enderleinellus tamiasis,lower,
anoplura,Enderleinellus tamiopsis,lower,
anoplura,Enderleinellus uncinatus,lower,Microphthirus uncinatus
anoplura,Enderleinellus urosciuri,lower,
anoplura,Enderleinellus venezuelae,lower,
anoplura,Enderleinellus zonatus,lower,
anoplura,Eremophthirius biseriatus,lower,Polyplax biseriata
anoplura,Eremophthirius ellobii,lower,Polyplax ellobii
anoplura,Eremophthirius eropepli,lower,Polyplax eropepli
anoplura,Eremophthirius gerbilli,lower,Polyplax gerbilli
anoplura,Eremophthirius praecisa,lower,Polyplax praecisa
anoplura,Eremophthirius stephensi,lower,Polyplax stephensi
anoplura,Eremophthirius subtaterae,lower,Polyplax subtaterae
anoplura,Eremophthirius tarsomydis,lower,Polyplax tarsomydis
anoplura,Eremophthirius taterae,lower,Polyplax taterae
anoplura,Eremophthirius werneri,lower,Polyplax werneri
anoplura,Euendelerleinellus platyspicatus,lower,Enderleinellus platyspicatus
anoplura,Euenderleinellus larisei,lower,Enderleinellus larisci
anoplura,Euenderleinellus menetensis,lower,Enderleinellus menetensis
anoplura,Euenderleinellus zonatus,lower,Enderleinellus zonatus
anoplura,Euhaematopinus abnormis,lower,Haematopinoides squamosus
anoplura,Euhoplopleura trispinosa,lower,Hoplopleura trispinosa
anoplura,Eulinognathus aculeatus,lower,
anoplura,Eulinognathus alactaguli,lower,
anoplura,Eulinognathus allactagae,lower,
anoplura,Eulinognathus americanus,lower,
anoplura,Eulinognathus biuncatus,lower,
anoplura,Eulinognathus bolivianus,lower,
anoplura,Eulinognathus cardiocranius,lower,
anoplura,Eulinognathus caviae,lower,Galeophthirus caviae
anoplura,Eulinognathus crucuformis,lower,
anoplura,Eulinognathus denticulatus,lower,
anoplura,Eulinognathus denticulatus denticulatus,lower,Eulinognathus denticulatus
anoplura,Eulinognathus denticulatus surdasteri,lower,Eulinognathus denticulatus
anoplura,Eulinognathus dipodis,lower,
anoplura,Eulinognathus elateri,lower,
anoplura,Eulinognathus eremodipodis,lower,
anoplura,Eulinognathus euchoreutae,lower,
anoplura,Eulinognathus euchoreutei,lower,Eulinognathus euchoreutae
anoplura,Eulinognathus gentilis,lower,
anoplura,Eulinognathus hepperi,lower,
anoplura,Eulinognathus hesperius,lower,
anoplura,Eulinognathus hilli,lower,
anoplura,Eulinognathus hypogeomydis,lower,
anoplura,Eulinognathus inermis,lower,
anoplura,Eulinognathus jaculi,lower,
anoplura,Eulinognathus lawrensis,lower,
anoplura,Eulinognathus lophiomydis,lower,
anoplura,Eulinognathus maurii,lower,Cuyana maurii
anoplura,Eulinognathus parvus,lower,Lagidiophthirus parvus
anoplura,Eulinognathus patagonicus,lower,
anoplura,Eulinognathus pygerethmi,lower,
anoplura,Eulinognathus scirtopodae,lower,
anoplura,Eulinognathus tokmaki,lower,
anoplura,Eulinognathus torquatus,lower,
anoplura,Eulinognathus wernecki,lower,
anoplura,Fahrenholzia boleni,lower,
anoplura,Fahrenholzia ehrlichi,lower,
anoplura,Fahrenholzia fahrenholzi,lower,Fahrenholzia pinnata
anoplura,Fahrenholzia fairchildi,lower,
anoplura,Fahrenholzia ferrisi,lower,
anoplura,Fahrenholzia hertigi,lower,
anoplura,Fahrenholzia microcephala,lower,
anoplura,Fahrenholzia pinnata,lower,
anoplura,Fahrenholzia reducta,lower,
anoplura,Fahrenholzia schwartzi,lower,
anoplura,Fahrenholzia texana,lower,
anoplura,Fahrenholzia tribulosa,lower,
anoplura,Fahrenholzia tribulosa reducta,lower,Fahrenholzia reducta
anoplura,Fahrenholzia tribulosa tribulosa,lower,Fahrenholzia tribulosa
anoplura,Fahrenholzia tribulosa zacatecae,lower,Fahrenholzia zacatecae
anoplura,Fahrenholzia zacatecae,lower,
anoplura,Ferrisella barrerae,lower,
anoplura,Ferrisella disgrega,lower,Hoplopleura disgrega
anoplura,Ferrisella emarginata,lower,Paradoxophthirus emarginata
anoplura,Ferrisella malaysiana,lower,Hoplopleura malaysiana
anoplura,Ferrisella ochotonae,lower,Hoplopleura ochotonae
anoplura,Galeophthirus caviae,lower,
anoplura,Haematopinoides squamosus,lower,
anoplura,Haematopinus acanthopus,lower,Hoplopleura acanthopus
anoplura,Haematopinus acuticeps,lower,
anoplura,Haematopinus adventicus,lower,Haematopinus suis
anoplura,Haematopinus affinis,lower,Hoplopleura affinis
anoplura,Haematopinus albidus,lower,Pedicinus albidus
anoplura,Haematopinus annulatus,lower,Echinophthirius horridus
anoplura,Haematopinus antennatus,lower,Neohaematopinus sciurinus
anoplura,Haematopinus aperis,lower,Haematopinus apri
anoplura,Haematopinus apri,lower,
anoplura,Haematopinus asini,lower,
anoplura,Haematopinus asini asini,lower,Haematopinus asini
anoplura,Haematopinus asini burchellis,lower,Haematopinus asini
anoplura,Haematopinus asini elegans,lower,Haematopinus asini
anoplura,Haematopinus asini macrocephalus,lower,Haematopinus asini
anoplura,Haematopinus asini minor,lower,Haematopinus asini
anoplura,Haematopinus aulacodi,lower,Scipio aulacodi
anoplura,Haematopinus bicolor,lower,Linognathus setosus
anoplura,Haematopinus breviceps,lower,Linognathus breviceps
anoplura,Haematopinus brevicornis,lower,Linognathus brevicornis
anoplura,Haematopinus breviculus,lower,
anoplura,Haematopinus brevipes,lower,Haematopinus eurysternus
anoplura,Haematopinus bufali,lower,
anoplura,Haematopinus bufali bufali,lower,Haematopinus bufali
anoplura,Haematopinus bufali europaei,lower,Haematopinus tuberculatus
anoplura,Haematopinus bufali punctatus,lower,Haematopinus tuberculatus
anoplura,Haematopinus callorhini,lower,Antarctophthirus callorhini
anoplura,Haematopinus cameli,lower,Microthoracius cameli
anoplura,Haematopinus cervicaprae,lower,Linognathus cervicaprae
anoplura,Haematopinus channabasavannai,lower,
anoplura,Haematopinus chinensis,lower,Haematopinus suis
anoplura,Haematopinus clavicornis,lower,Pediculus clavicornis
anoplura,Haematopinus columbianus,lower,Linognathoides laeviusculus
anoplura,Haematopinus crassicornis,lower,Solenopotes burmeisteri
anoplura,Haematopinus Echinophthirius setosus,lower,Echinophthirius horridus
anoplura,Haematopinus elegans,lower,Haematopinus asini
anoplura,Haematopinus equi,lower,Haematopinus asini
anoplura,Haematopinus erraticus,lower,Hoplopleura erratica
anoplura,Haematopinus eurysternus,lower,
anoplura,Haematopinus forficulus,lower,Linognathus stenopsis
anoplura,Haematopinus gorgonis,lower,
anoplura,Haematopinus hesperomydis,lower,Hoplopleura hesperomydis
anoplura,Haematopinus hispidus,lower,Hoplopleura hispida
anoplura,Haematopinus incisus,lower,Haematopinus latus
anoplura,Haematopinus irritans,lower,Haematopinus suis
anoplura,Haematopinus jeannereti,lower,
anoplura,Haematopinus laeviusculus,lower,Linognathoides laeviusculus
anoplura,Haematopinus latus,lower,
anoplura,Haematopinus latus latissimus,lower,Haematopinus latus
anoplura,Haematopinus leptocephalus,lower,Prolinognathus leptocephalus
anoplura,Haematopinus leucophaeus,lower,Schizophthirus pleurophaeus
anoplura,Haematopinus Linognathus piliferus,lower,Linognathus setosus
anoplura,Haematopinus Linognathus praelongiceps,lower,Microthoracius praelongiceps
anoplura,Haematopinus Linognathus squamulatus,lower,Ratemia squamulata
anoplura,Haematopinus longus,lower,
anoplura,Haematopinus ludwigi,lower,
anoplura,Haematopinus lyriocephalus,lower,Haemodipsus lyriocephalus
anoplura,Haematopinus macrocephalus,lower,Haematopinus asini
anoplura,Haematopinus meinertzhageni,lower,
anoplura,Haematopinus microcepahlus,lower,Linognathus pedalis
anoplura,Haematopinus minor,lower,Haematopinus asini
anoplura,Haematopinus montanus,lower,Linognathoides laeviusculus
anoplura,Haematopinus neumanni,lower,Haematopinus bufali
anoplura,Haematopinus nigricantis,lower,
anoplura,Haematopinus notophallus,lower,Hybophthirus notophallus
anoplura,Haematopinus obtusus,lower,Pedicinus obtusus
anoplura,Haematopinus oliveri,lower,
anoplura,Haematopinus oryx,lower,
anoplura,Haematopinus oviformis,lower,Linognathus oviformis
anoplura,Haematopinus ovillus,lower,Linognathus ovillus
anoplura,Haematopinus ovis,lower,Linognathus pedalis
anoplura,Haematopinus palpebrae,lower,Haematopinus eurysternus
anoplura,Haematopinus palpebrae,lower,Haematopinus quadripertusus
anoplura,Haematopinus parviprocursus,lower,Haematopinus quadripertusus
anoplura,Haematopinus pedalis,lower,Linognathus pedalis
anoplura,Haematopinus peristictus,lower,Haematopinus latus
anoplura,Haematopinus peristictus,lower,Haematopinus phacochoeri
anoplura,Haematopinus phacochoeri,lower,
anoplura,Haematopinus phthiropsis,lower,Haematopinus bufali
anoplura,Haematopinus piliferus,lower,Linognathus setosus
anoplura,Haematopinus Polyplax aculeatus,lower,Eulinognathus aculeatus
anoplura,Haematopinus Polyplax bidentatus,lower,Hoplopleura bidentata
anoplura,Haematopinus Polyplax echinatus,lower,Neohaematopinus echinatus
anoplura,Haematopinus Polyplax longulus,lower,Hoplopleura longula
anoplura,Haematopinus Polyplax lyriocephalus,lower,Haemodipsus lyriocephalus
anoplura,Haematopinus Polyplax maniculatus,lower,Hoplopleura maniculata
anoplura,Haematopinus Polyplax pectinifer,lower,Linognathoides pectinifer
anoplura,Haematopinus Polyplax quadridentatus,lower,Hoplopleura quadridentata
anoplura,Haematopinus Polyplax spiniger,lower,Polyplax spinigera
anoplura,Haematopinus Polyplax spiniger reclinatus,lower,Polyplax reclinata
anoplura,Haematopinus Polyplax spinulosus,lower,Polyplax spinulosa
anoplura,Haematopinus Polyplax stephensi,lower,Polyplax stephensi
anoplura,Haematopinus Polyplax ventricosus,lower,Haemodipsus ventricosus
anoplura,Haematopinus praecisus,lower,Hoplopleura neumanni
anoplura,Haematopinus praecisus,lower,Polyplax praecisa
anoplura,Haematopinus praecitus,lower,Hoplopleura neumanni
anoplura,Haematopinus praecitus,lower,Polyplax praecisa
anoplura,Haematopinus punctatus,lower,Haematopinus tuberculatus
anoplura,Haematopinus quadripertusus,lower,
anoplura,Haematopinus reclinatus,lower,Polyplax reclinata
anoplura,Haematopinus rupicaprae,lower,Linognathus stenopsis
anoplura,Haematopinus saccatus,lower,Linognathus saccatus
anoplura,Haematopinus sciuropteri,lower,Neohaematopinus sciuropteri
anoplura,Haematopinus serratus,lower,Polyplax serrata
anoplura,Haematopinus setosus,lower,Echinophthirius horridus
anoplura,Haematopinus setosus,lower,Linognathoides pectinifer
anoplura,Haematopinus sphaerocephalus,lower,Enderleinellus nitzschi
anoplura,Haematopinus spiculifer,lower,Hoplopleura spiculifer
anoplura,Haematopinus spiniger,lower,Polyplax spinigera
anoplura,Haematopinus spinulosus,lower,Polyplax spinulosa
anoplura,Haematopinus stenopsis,lower,Linognathus stenopsis
anoplura,Haematopinus stephensi,lower,Polyplax stephensi
anoplura,Haematopinus suis,lower,
anoplura,Haematopinus suis adventicus,lower,Haematopinus suis
anoplura,Haematopinus suis chinensis,lower,Haematopinus suis
anoplura,Haematopinus suis germanus,lower,Haematopinus suis
anoplura,Haematopinus suis sardinensis,lower,Haematopinus suis
anoplura,Haematopinus suis suis,lower,Haematopinus suis
anoplura,Haematopinus suturalis,lower,Enderleinellus suturalis
anoplura,Haematopinus taurotragi,lower,
anoplura,Haematopinus tenuirostris,lower,Linognathus vituli
anoplura,Haematopinus tibialis,lower,Linognathus tibialis
anoplura,Haematopinus trichechi,lower,Antarctophthirus trichechi
anoplura,Haematopinus tuberculatus,lower,
anoplura,Haematopinus ungulatus,lower,Linognathus angulatus
anoplura,Haematopinus urius,lower,Haematopinus apri
anoplura,Haematopinus ventricosus,lower,Haemodipsus ventricosus
anoplura,Haematopinus vituli,lower,Linognathus vituli
anoplura,Haemodipsus africanus,lower,
anoplura,Haemodipsus brachylagi,lower,
anoplura,Haemodipsus conformalis,lower,
anoplura,Haemodipsus janckei,lower,Haemodipsus ventricosus
anoplura,Haemodipsus leporis,lower,
anoplura,Haemodipsus lyriocephalus,lower,
anoplura,Haemodipsus parvus,lower,Lagidiophthirus parvus
anoplura,Haemodipsus setoni,lower,
anoplura,Haemodipsus ventricosus,lower,
anoplura,Hamophthirius galeopitheci,lower,
anoplura,Hamophthirus galeopitheci,lower,Hamophthirius galeopitheci
anoplura,Hasellus pleurophaeus,lower,Schizophthirus pleurophaeus
anoplura,Hematopinus Polyplax praecisus,lower,Polyplax praecisa
anoplura,Hoplophthirus euxeri,lower,Enderleinellus euxeri
anoplura,Hoplopleura abeli,lower,
anoplura,Hoplopleura abstrusus,lower,
anoplura,Hoplopleura acanthopus,lower,
anoplura,Hoplopleura acanthopus acanthopus,lower,Hoplopleura acanthopus
anoplura,Hoplopleura acanthopus edentulus,lower,Hoplopleura acanthopus
anoplura,Hoplopleura acanthopus edentulus,lower,Hoplopleura edentula
anoplura,Hoplopleura aethomydis,lower,
anoplura,Hoplopleura affinis,lower,
anoplura,Hoplopleura affinis affinis,lower,Hoplopleura affinis
anoplura,Hoplopleura affinis argentina,lower,Hoplopleura argentina
anoplura,Hoplopleura aitkeni,lower,
anoplura,Hoplopleura akanezumi,lower,Hoplopleura affinis
anoplura,Hoplopleura alata,lower,Pterophthirus alata
anoplura,Hoplopleura alstoni,lower,
anoplura,Hoplopleura alticola,lower,
anoplura,Hoplopleura andina,lower,
anoplura,Hoplopleura angulata,lower,
anoplura,Hoplopleura apomydis,lower,
anoplura,Hoplopleura arboricola,lower,
anoplura,Hoplopleura argentina,lower,
anoplura,Hoplopleura arizonensis,lower,
anoplura,Hoplopleura audax,lower,Pterophthirus audax
anoplura,Hoplopleura auliscomydis,lower,
anoplura,Hoplopleura bidentata,lower,
anoplura,Hoplopleura bilobata,lower,
anoplura,Hoplopleura biseriata,lower,
anoplura,Hoplopleura blanfordi,lower,
anoplura,Hoplopleura brasiliensis,lower,
anoplura,Hoplopleura calabyi,lower,
anoplura,Hoplopleura capensis,lower,
anoplura,Hoplopleura captiosa,lower,
anoplura,Hoplopleura chelemydis,lower,
anoplura,Hoplopleura chilensis,lower,
anoplura,Hoplopleura chippauxi,lower,
anoplura,Hoplopleura chrotomydis,lower,
anoplura,Hoplopleura chrysocomi,lower,
anoplura,Hoplopleura colomydis,lower,
anoplura,Hoplopleura confuciana,lower,
anoplura,Hoplopleura contigua,lower,
anoplura,Hoplopleura cooki,lower,
anoplura,Hoplopleura cornata,lower,
anoplura,Hoplopleura cricetuli,lower,
anoplura,Hoplopleura cryptica,lower,
anoplura,Hoplopleura cutchicus,lower,
anoplura,Hoplopleura delticola,lower,
anoplura,Hoplopleura dendromuris,lower,
anoplura,Hoplopleura desmodilli,lower,Hoplopleura capensis
anoplura,Hoplopleura diaphora,lower,
anoplura,Hoplopleura difficilis,lower,
anoplura,Hoplopleura disgrega,lower,
anoplura,Hoplopleura disgrega chilensis,lower,Hoplopleura chilensis
anoplura,Hoplopleura disgrega disgrega,lower,Hoplopleura disgrega
anoplura,Hoplopleura dissicula,lower,
anoplura,Hoplopleura dissimilis,lower,
anoplura,Hoplopleura distorta,lower,
anoplura,Hoplopleura edentula,lower,
anoplura,Hoplopleura emarginata,lower,Paradoxophthirus emarginata
anoplura,Hoplopleura emphereia,lower,
anoplura,Hoplopleura enormis,lower,
anoplura,Hoplopleura enormis enormis,lower,Hoplopleura enormis
anoplura,Hoplopleura enormis mylomydis,lower,Hoplopleura mylomydis
anoplura,Hoplopleura enormis pelomydis,lower,Hoplopleura pelomydis
anoplura,Hoplopleura erismata,lower,
anoplura,Hoplopleura erratica,lower,
anoplura,Hoplopleura erratica arboricola,lower,Hoplopleura arboricola
anoplura,Hoplopleura erratica erratica,lower,Hoplopleura erratica
anoplura,Hoplopleura exima,lower,
anoplura,Hoplopleura fahrenholzi,lower,Hoplopleura acanthopus
anoplura,Hoplopleura ferrisi,lower,
anoplura,Hoplopleura ferrisi emphereia,lower,Hoplopleura emphereia
anoplura,Hoplopleura ferrisi ferrisi,lower,Hoplopleura ferrisi
anoplura,Hoplopleura fonsecai,lower,
anoplura,Hoplopleura funambuli,lower,
anoplura,Hoplopleura griseoflavae,lower,
anoplura,Hoplopleura gyomydis,lower,
anoplura,Hoplopleura handleyi,lower,
anoplura,Hoplopleura hesperomydis,lower,
anoplura,Hoplopleura hesperomydis occidentalis,lower,Hoplopleura hesperomydis
anoplura,Hoplopleura himalayana,lower,
anoplura,Hoplopleura himenezumi,lower,
anoplura,Hoplopleura hirsuta,lower,
anoplura,Hoplopleura hispida,lower,
anoplura,Hoplopleura hybomyis,lower,
anoplura,Hoplopleura hylomysci,lower,
anoplura,Hoplopleura ileile,lower,
anoplura,Hoplopleura imitans,lower,Pterophthirus imitans
anoplura,Hoplopleura imparata,lower,
anoplura,Hoplopleura inagakii,lower,
anoplura,Hoplopleura indiscreta,lower,
anoplura,Hoplopleura inexpectans,lower,
anoplura,Hoplopleura inexpectans occidentalis,lower,Hoplopleura inexpectans
anoplura,Hoplopleura ingens,lower,
anoplura,Hoplopleura intermedia,lower,
anoplura,Hoplopleura inusitata,lower,
anoplura,Hoplopleura irritans,lower,
anoplura,Hoplopleura ismailiae,lower,
anoplura,Hoplopleura janzeni,lower,
anoplura,Hoplopleura johnsonae,lower,
anoplura,Hoplopleura karachiensis,lower,
anoplura,Hoplopleura khandala,lower,
anoplura,Hoplopleura kitti,lower,
anoplura,Hoplopleura kondana,lower,
anoplura,Hoplopleura laticeps,lower,
anoplura,Hoplopleura leucomus,lower,
anoplura,Hoplopleura lineata,lower,Hoplopleura longula
anoplura,Hoplopleura longula,lower,
anoplura,Hoplopleura malabarica,lower,
anoplura,Hoplopleura malaysiana,lower,
anoplura,Hoplopleura maniculata,lower,
anoplura,Hoplopleura massoiai,lower,
anoplura,Hoplopleura mastacomydis,lower,
anoplura,Hoplopleura melomydis,lower,
anoplura,Hoplopleura mendezi,lower,
anoplura,Hoplopleura mendozana,lower,
anoplura,Hoplopleura meridionidis,lower,
anoplura,Hoplopleura minasensis,lower,
anoplura,Hoplopleura minuta,lower,
anoplura,Hoplopleura misionalis,lower,
anoplura,Hoplopleura misionensis,lower,
anoplura,Hoplopleura mitsuii,lower,Hoplopleura maniculata
anoplura,Hoplopleura mulleri,lower,
anoplura,Hoplopleura multilobata,lower,
anoplura,Hoplopleura murinus,lower,
anoplura,Hoplopleura musculi,lower,Hoplopleura captiosa
anoplura,Hoplopleura musseri,lower,
anoplura,Hoplopleura mylomydis,lower,
anoplura,Hoplopleura myomyis,lower,
anoplura,Hoplopleura nasvikae,lower,
anoplura,Hoplopleura neotomydis,lower,
anoplura,Hoplopleura nesoryzomydis,lower,
anoplura,Hoplopleura neumanni,lower,
anoplura,Hoplopleura nicolai,lower,
anoplura,Hoplopleura notomydis,lower,
anoplura,Hoplopleura ochotonae,lower,
anoplura,Hoplopleura octomydis,lower,
anoplura,Hoplopleura oenomydis,lower,
anoplura,Hoplopleura ondatraria,lower,
anoplura,Hoplopleura onychomydis,lower,
anoplura,Hoplopleura orinocoi,lower,
anoplura,Hoplopleura oryzomydis,lower,
anoplura,Hoplopleura oxymycteri,lower,
anoplura,Hoplopleura pacifica,lower,
anoplura,Hoplopleura pahari,lower,
anoplura,Hoplopleura paranaensis,lower,
anoplura,Hoplopleura patersoni,lower,
anoplura,Hoplopleura pavlovskyi,lower,
anoplura,Hoplopleura pectinata,lower,
anoplura,Hoplopleura pelomydis,lower,
anoplura,Hoplopleura phaiomydis,lower,
anoplura,Hoplopleura quadridentata,lower,
anoplura,Hoplopleura quadridentatus,lower,Hoplopleura quadridentata
anoplura,Hoplopleura rajah,lower,
anoplura,Hoplopleura ramgarh,lower,
anoplura,Hoplopleura reclinata,lower,Polyplax reclinata
anoplura,Hoplopleura reducta,lower,
anoplura,Hoplopleura reithrodontomydis,lower,
anoplura,Hoplopleura rimae,lower,
anoplura,Hoplopleura riojensis,lower,
anoplura,Hoplopleura rubrisciuri,lower,
anoplura,Hoplopleura rukenyae,lower,
anoplura,Hoplopleura sahyadri,lower,
anoplura,Hoplopleura scapteromydis,lower,
anoplura,Hoplopleura sciuricola,lower,
anoplura,Hoplopleura scotinomydis,lower,
anoplura,Hoplopleura sembeli,lower,
anoplura,Hoplopleura serratula,lower,
anoplura,Hoplopleura setosa,lower,
anoplura,Hoplopleura setzeri,lower,
anoplura,Hoplopleura sicata,lower,
anoplura,Hoplopleura silesica,lower,Hoplopleura acanthopus
anoplura,Hoplopleura silvula,lower,
anoplura,Hoplopleura similis,lower,
anoplura,Hoplopleura sinhgarh,lower,
anoplura,Hoplopleura somereni,lower,
anoplura,Hoplopleura sommeri,lower,
anoplura,Hoplopleura spicula,lower,
anoplura,Hoplopleura spiculifer,lower,
anoplura,Hoplopleura splendida,lower,Pterophthirus splendida
anoplura,Hoplopleura sukenyae,lower,Hoplopleura rukenyae
anoplura,Hoplopleura thurmanae,lower,
anoplura,Hoplopleura tiptoni,lower,
anoplura,Hoplopleura topapuensis,lower,
anoplura,Hoplopleura torresi,lower,Hoplopleura travassosi
anoplura,Hoplopleura traubi,lower,
anoplura,Hoplopleura travassosi,lower,
anoplura,Hoplopleura trispinosa,lower,
anoplura,Hoplopleura uralensis,lower,
anoplura,Hoplopleura uromydis,lower,
anoplura,Hoplopleura vandeleuria,lower,Hoplopleura silvula
anoplura,Hoplopleura varia,lower,
