label,pattern,attr,replace
dna_count,base pairs,lower,
dna_count,bp,lower,base pairs
group,each side,lower,
length_units,centimeters,lower,cm
length_units,cm,lower,cm
length_units,kilometer,lower,km
length_units,km,lower,km
length_units,m,lower,m
length_units,meters,lower,m
length_units,millimeters,lower,mm
length_units,mm,lower,mm
length_units,µm,lower,µm
location,accessory,lower,
location,anal,lower,
location,anterior,lower,
location,antero-lateral,lower,
location,apical,lower,
location,basal,lower,
location,central,lower,
location,dorsal,lower,
location,genito-ventral,lower,
location,lateral,lower,
location,mediolateral,lower,
location,marginal,lower,
location,mesothoracic,lower,
location,oral,lower,
location,paratergal,lower,
location,postantennal,lower,
location,posterior,lower,
location,postero-medial,lower,
location,preantennal,lower,
location,principal,lower,
location,sternal,lower,
location,subgenital,lower,
location,supra-antennal,lower,
location,sutural,lower,
location,tergal,lower,
location,terminal,lower,
location,vulvar,lower,
location,ventral,lower,
ordinal,eighth,lower,
ordinal,eleventh,lower,
ordinal,fifth,lower,
ordinal,first,lower,
ordinal,fourth,lower,
ordinal,ninth,lower,
ordinal,second,lower,
ordinal,seventh,lower,
ordinal,sixth,lower,
ordinal,tenth,lower,
ordinal,third,lower,
ordinal,twelfth,lower,
part,abdomen,lower,
part,abdominal,lower,
part,antenna,lower,
part,antennae,lower,antenna
part,antennal,lower,antenna
part,anus,lower,
part,apodema,lower,apodeme
part,apodeme,lower,
part,body,lower,
part,foreleg,lower,
part,forelegs,lower,foreleg
part,fimbriae,lower,
part,genital,lower,
part,genitalia,lower,genital
part,genitals,lower,genital
part,gonopod,lower,
part,gonopods,lower,gonopod
part,head,lower,
part,hindleg,lower,
part,hindlegs,lower,hindleg
part,leg,lower,
part,legs,lower,leg
part,margins,lower,
part,mesothorax,lower,
part,metapodal,lower,
part,metathorax,lower,
part,paramere,lower,
part,parameres,lower,
part,plate,lower,
part,prothorax,lower,
part,spiracle,lower,
part,spiracles,lower,spiracle
part,sternal,lower,
part,sternum,lower,
part,thoracic,lower,
part,thorax,lower,
part,vulva,lower,
sclerotin,sclerotin,lower,sclerotized
sclerotin,sclerotised,lower,sclerotized
sclerotin,sclerotization,lower,sclerotized
sclerotin,sclerotized,lower,sclerotized
segment,segment,lower,
segment,segmented,lower,
segment,segments,lower,
seta,chaeta,lower,
seta,cheta,lower,
seta,seta,lower,
seta,setaceous,lower,
seta,setae,lower,
seta,setose,lower,
seta,setula,lower,
seta_abbrev,anmhs,lower,anterior marginal head seta
seta_abbrev,aphs,lower,apical head seta
seta_abbrev,dachs,lower,dorsal accessory head seta
seta_abbrev,danchs,lower,dorsal anterior central head seta
seta_abbrev,danhs,lower,dorsal anterior head seta
seta_abbrev,dcas,lower,dorsal central abdominal seta
seta_abbrev,dlas,lower,dorsal lateral abdominal seta
seta_abbrev,dmas,lower,dorsal marginal abdominal seta
seta_abbrev,dmhs,lower,dorsal marginal head seta
seta_abbrev,dmss,lower,dorsal mesothoracic seta
seta_abbrev,dpahs,lower,dorsal preantennal head seta
seta_abbrev,dphs,lower,dorsal principal head seta
seta_abbrev,dpochs,lower,dorsal posterior central head seta
seta_abbrev,dpohs,lower,dorsal posterior head seta
seta_abbrev,dpts,lower,dorsal principal thoracic seta
seta_abbrev,ors,lower,oral seta
seta_abbrev,prs,lower,paratergal seta
seta_abbrev,shs,lower,sutural head seta
seta_abbrev,spaths,lower,supra-antennal head seta
seta_abbrev,stas,lower,sternal abdominal seta
seta_abbrev,suhs,lower,sutural head seta
seta_abbrev,teas,lower,tergal abdominal seta
seta_abbrev,vcas,lower,ventral central abdominal seta
seta_abbrev,vlas,lower,ventral lateral abdominal seta
seta_abbrev,vmas,lower,ventral marginal abdominal seta
seta_abbrev,vpahs,lower,ventral preantennal head seta
seta_abbrev,vphs,lower,ventral principal head seta
seta_abbrev,vpomhs,lower,ventral posterior marginal head seta
sex,female,lower,female
sex,females,lower,female
sex,male,lower,male
sex,males,lower,male
sex,n,lower,nymph
sex,nymph,lower,nymph
sex,nymphs,lower,nymph
sex,♀,lower,female
sex,♀♀,lower,female
sex,♂,lower,male
sex,♂♂,lower,male
type,allotype,lower,allotype
type,allotypes,lower,allotype
type,holotype,lower,holotype
type,holotypes,lower,holotype
type,paratype,lower,paratype
type,paratypes,lower,paratype
