label,pattern,attr,replace
dna_count,base pairs,lower,
dna_count,bp,lower,base pairs
group,each side,lower,
sclerotin,sclerotin,lower,sclerotized
sclerotin,sclerotised,lower,sclerotized
sclerotin,sclerotization,lower,sclerotized
sclerotin,sclerotized,lower,sclerotized
segment,segment,lower,
segment,segmented,lower,
segment,segments,lower,
seta,chaeta,lower,
seta,cheta,lower,
seta,seta,lower,
seta,setaceous,lower,
seta,setae,lower,
seta,setose,lower,
seta,setula,lower,
seta_abbrev,anmhs,lower,anterior marginal head seta
seta_abbrev,aphs,lower,apical head seta
seta_abbrev,dachs,lower,dorsal accessory head seta
seta_abbrev,danchs,lower,dorsal anterior central head seta
seta_abbrev,danhs,lower,dorsal anterior head seta
seta_abbrev,dcas,lower,dorsal central abdominal seta
seta_abbrev,dlas,lower,dorsal lateral abdominal seta
seta_abbrev,dmas,lower,dorsal marginal abdominal seta
seta_abbrev,dmhs,lower,dorsal marginal head seta
seta_abbrev,dmss,lower,dorsal mesothoracic seta
seta_abbrev,dpahs,lower,dorsal preantennal head seta
seta_abbrev,dphs,lower,dorsal principal head seta
seta_abbrev,dpochs,lower,dorsal posterior central head seta
seta_abbrev,dpohs,lower,dorsal posterior head seta
seta_abbrev,dpts,lower,dorsal principal thoracic seta
seta_abbrev,ors,lower,oral seta
seta_abbrev,prs,lower,paratergal seta
seta_abbrev,shs,lower,sutural head seta
seta_abbrev,spaths,lower,supra-antennal head seta
seta_abbrev,stas,lower,sternal abdominal seta
seta_abbrev,suhs,lower,sutural head seta
seta_abbrev,teas,lower,tergal abdominal seta
seta_abbrev,vcas,lower,ventral central abdominal seta
seta_abbrev,vlas,lower,ventral lateral abdominal seta
seta_abbrev,vmas,lower,ventral marginal abdominal seta
seta_abbrev,vpahs,lower,ventral preantennal head seta
seta_abbrev,vphs,lower,ventral principal head seta
seta_abbrev,vpomhs,lower,ventral posterior marginal head seta
type,allotype,lower,allotype
type,allotypes,lower,allotype
type,holotype,lower,holotype
type,holotypes,lower,holotype
type,paratype,lower,paratype
type,paratypes,lower,paratype
